,Date,35t_CO (ppm),35t_NO (ppb),35t_NOX (ppb),35t_NO2 (ppb),35t_SO2 (ppb),35t_O3 (ppb),35t_PM10 (ug/m3),35t_WD (Degree),35t_TEMP (C),35t_RH (%),35t_SRAD (w/m2),35t_NRAD (w/m2),35t_BP (mmHG),35t_RAIN (mm),35t_WS (m/s),35t_THC (ppm),35t_PM2.5 (ug/m3)
0,"2020,08,16,00,00,00",-,0,1,1,-0,11,26,137,23.6,93,-,-,-,0.0,0.6,-,13
1,"2020,08,16,01,00,00",-,0,2,5,0,7,32,211,23.6,94,-,-,-,0.0,0.1,-,12
2,"2020,08,16,02,00,00",-,-,-,6,-,-,20,162,23.4,96,-,-,-,0.0,0.1,-,13
3,"2020,08,16,03,00,00",-,0,2,3,0,5,26,223,23.3,98,-,-,-,0.0,0.0,-,12
4,"2020,08,16,04,00,00",-,0,2,2,0,3,28,290,23.3,99,-,-,-,0.0,0.1,-,15
5,"2020,08,16,05,00,00",-,0,1,2,0,4,22,190,23.3,99,-,-,-,0.0,0.2,-,15
6,"2020,08,16,06,00,00",-,0,3,3,0,3,28,139,23.3,99,-,-,-,0.0,0.1,-,14
7,"2020,08,16,07,00,00",-,1,5,4,0,5,30,291,23.8,93,-,-,-,0.0,0.1,-,15
8,"2020,08,16,08,00,00",-,2,6,4,0,7,28,313,24.6,85,-,-,-,0.0,0.2,-,14
9,"2020,08,16,09,00,00",-,1,5,4,0,12,31,169,25.3,80,-,-,-,0.0,0.3,-,14
10,"2020,08,16,10,00,00",-,1,5,4,0,16,30,162,26.5,75,-,-,-,0.0,0.3,-,16
11,"2020,08,16,11,00,00",-,0,2,3,0,24,30,182,26.8,73,-,-,-,0.0,0.7,-,17
12,"2020,08,16,12,00,00",-,0,2,3,0,29,28,169,27.2,73,-,-,-,0.0,0.5,-,17
13,"2020,08,16,13,00,00",-,0,3,3,0,26,31,128,27.3,75,-,-,-,0.0,0.3,-,20
14,"2020,08,16,14,00,00",-,0,4,4,0,31,34,141,28.2,71,-,-,-,0.0,0.6,-,19
15,"2020,08,16,15,00,00",-,0,1,2,0,33,34,141,29.5,65,-,-,-,0.0,0.6,-,23
16,"2020,08,16,16,00,00",-,0,1,1,0,33,37,133,29.3,66,-,-,-,0.0,0.5,-,24
17,"2020,08,16,17,00,00",-,0,1,2,0,30,35,154,29.4,66,-,-,-,0.0,0.4,-,23
18,"2020,08,16,18,00,00",-,0,2,3,0,24,37,159,28.2,70,-,-,-,0.0,0.4,-,25
